LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Change,Flag Codes
GBR,CLI,AMPLITUD,LTRENDIDX,M,1957-12,97.56302,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1958-01,97.61677,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1958-02,97.75157,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1958-03,97.91984,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1958-04,98.08043,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1958-05,98.26173,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1958-06,98.49271,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1958-07,98.80723,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1958-08,99.18008,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1958-09,99.56214,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1958-10,99.91801,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1958-11,100.1926,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1958-12,100.2986,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1959-01,100.2367,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1959-02,100.0831,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1959-03,99.92211,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1959-04,99.80231,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1959-05,99.71457,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1959-06,99.75157,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1959-07,100.0015,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1959-08,100.5572,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1959-09,101.4538,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1959-10,102.5076,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1959-11,103.4396,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1959-12,104.0236,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1960-01,104.107,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1960-02,103.7626,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1960-03,103.2152,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1960-04,102.622,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1960-05,102.087,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1960-06,101.6583,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1960-07,101.3474,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1960-08,101.134,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1960-09,100.9866,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1960-10,100.8598,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1960-11,100.7572,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1960-12,100.7246,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1961-01,100.7447,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1961-02,100.7677,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1961-03,100.6916,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1961-04,100.4433,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1961-05,100.0152,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1961-06,99.42986,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1961-07,98.70757,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1961-08,97.94234,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1961-09,97.30318,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1961-10,96.88482,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1961-11,96.70899,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1961-12,96.701,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1962-01,96.78292,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1962-02,96.92832,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1962-03,97.11935,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1962-04,97.34292,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1962-05,97.53333,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1962-06,97.67903,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1962-07,97.84851,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1962-08,98.07254,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1962-09,98.31654,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1962-10,98.56045,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1962-11,98.78688,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1962-12,98.98691,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1963-01,99.18035,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1963-02,99.43151,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1963-03,99.74763,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1963-04,100.0898,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1963-05,100.421,,
GBR,CLI,AMPLITUD,LTRENDIDX,M,1963-06,100.7364,,
